;Total Biscuit of Rejuvenation;Warding Totem (Trinket);Doran's Blade;Boots of Speed;B. F. Sword;Control Ward;Zeal;Runaan's Hurricane;Dagger;Farsight Alteration;Pickaxe;Berserker's Greaves;Infinity Edge;Kircheis Shard;Rapid Firecannon;Executioner's Calling;Long Sword;Caulfield's Warhammer;Essence Reaver;Brawler's Gloves;Cull;Cloak of Agility;Null-Magic Mantle;Phantom Dancer;Vampiric Scepter;Recurve Bow;Health Potion;Refillable Potion;Maw of Malmortius;Hexdrinker;The Bloodthirster;Serrated Dirk;Boots of Swiftness;Elixir of Wrath;Last Whisper;Jaurim's Fist;Sterak's Gage;Quicksilver Sash;Lord Dominik's Regards;Mortal Reminder;Mercurial Scimitar;Bilgewater Cutlass;Blade of the Ruined King;Statikk Shiv;Chain Vest;Amplifying Tome;Guardian Angel;Giant Slayer;Cloth Armor;Sweeping Lens (Trinket);Ninja Tabi;The Dark Seal;Mercury's Treads;Phage;Ionian Boots of Lucidity;Oracle Alteration;Negatron Cloak;Spellthief's Edge;Sightstone;Sapphire Crystal;Glacial Shroud;Zeke's Convergence;Frostfang;Eye of the Watchers;Poacher's Dirk;Warden's Mail;Ruby Crystal;Giant's Belt;Randuin's Omen;Spectre's Cowl;Banshee's Veil;Rejuvenation Bead;Trinity Force;Death's Dance;Stinger;Boots of Mobility;Youmuu's Ghostblade;Edge of Night;Crystalline Bracer;Forbidden Idol;Redemption;Aegis of the Legion;Banner of Command;Knight's Vow;Seeker's Armguard;Zhonya's Hourglass;Faerie Charm;Relic Shield;Needlessly Large Rod;Kindlegem;The Black Cleaver;Ancient Coin;Aether Wisp;Ardent Censer;Nomad's Medallion;Eye of the Oasis;Elixir of Sorcery;Talisman of Ascension;Locket of the Iron Solari;Raptor Cloak;Ruby Sightstone;Blasting Wand;Frozen Mallet;Warmog's Armor;Guinsoo's Rageblade;Fiendish Codex;Nashor's Tooth;Frost Queen's Claim;Doran's Shield;Targon's Brace;Face of the Mountain;Manamune;Tear of the Goddess;Hextech Gunblade;Doran's Ring;Zz'Rot Portal;Hextech Revolver;Sheen;Wit's End;Corrupting Potion;Rylai's Crystal Scepter;Haunting Guise;Chalice of Harmony;Duskblade of Draktharr;Liandry's Torment;Elixir of Iron;Spirit Visage;Rabadon's Deathcap;Eye of the Equinox;Dead Man's Plate;Sorcerer's Shoes;Mejai's Soulstealer;Hextech Protobelt-01;Rod of Ages;Hunter's Potion;Iceborn Gauntlet;Adaptive Helm;Luden's Echo;Bami's Cinder;Sunfire Cape;Mikael's Crucible;Thornmail;Archangel's Staff
Total Biscuit of Rejuvenation;0;0;0;0;0;0;0;0;2882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Warding Totem (Trinket);0;0;0;0;0;0;0;0;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Doran's Blade;0;0;0;0;0;0;0;0;1931;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Boots of Speed;0;0;0;0;0;0;0;0;1620;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B. F. Sword;0;0;0;0;0;0;0;0;1487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Control Ward;0;0;0;0;0;0;0;0;3015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zeal;0;0;0;0;0;0;0;0;1886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Runaan's Hurricane;0;0;0;0;0;0;0;0;1439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dagger;0;0;0;0;0;0;0;0;5402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Farsight Alteration;0;0;0;0;0;0;0;0;1613;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
